neighbour IDP?;neighbour code;neighbour in CSN;neighbour in SIGNOR;neighbour in ReactomeFI;neighbour disorder content;neighbour preclinical target;neighbour MCG target;target code;target in CSN;target in SIGNOR;target in ReactomeFI;target of small molecule;target of antibody;targetneighbour;target disorder content;both in CSN;both in SIGNOR;both in ReactomeFI;both in all 3;in triangle - CSN;in  triangle - SIGNOR;in  triangle - ReactomeFI;not in any triangle;no. of triangles - CSN;no. of triangles - SIGNOR;no. of triangles - ReactomeFI;no. of in cycle - CSN;no. of in  cycle - SIGNOR;no. of in  cycle - ReactomeFI;no. of in unbalanced triangle - CSN;no. of in  unbalanced triangle - SIGNOR;no. of in  unbalanced triangle - ReactomeFI;neighbour – target inhibition - CSN;target – neighbour stimulation - CSN;neighbour – target stimulation - CSN;target – neighbour inhibition - CSN;neighbour – target inhibition - SIGNOR;target – neighbour stimulation - SIGNOR;neighbour – target stimulation - SIGNOR;target – neighbour inhibition - SIGNOR;neighbour – target inhibition - ReactomeFI;target – neighbour stimulation - ReactomeFI;neighbour – target stimulation - ReactomeFI;target – neighbour inhibition - ReactomeFI;neighbour third partner - CSN;target third partner - CSN;neighbour third partner - SIGNOR;target third partner - SIGNOR;neighbour third partner - ReactomeFI;target third partner - ReactomeFI;neighbour bridgeness - CSN;neighbour betweenness - CSN;target bridgeness - CSN;target betweenness - CSN;neighbour bridgeness - SIGNOR;neighbour betweenness - SIGNOR;target bridgeness - SIGNOR;target betweenness - SIGNOR;neighbour bridgeness - ReactomeFI;neighbour betweenness - ReactomeFI;target bridgeness - ReactomeFI;target betweenness - ReactomeFI;prognostic;predisposing;diagnostic;predictive;predictive biomarker for target?
1;171;0;1;1;0.3687;0;0;23;1;1;1;1;1;1;0.0107;0;1;1;0;0;0;1;0;0;0;10;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0.032605;20023.93887;0.003035;2141.881463;5.147888;278911.0165;0.036307;24960.0693;0.213382;391241.0227;1;0;0;0;0
1;171;0;1;1;0.3687;0;0;67;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.003035;2141.881463;7.426886;26234.10864;0.036307;24960.0693;0.029301;27132.2124;1;0;0;0;0
1;171;0;1;1;0.3687;0;0;97;1;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.783907;2643.475173;0.003035;2141.881463;1.796927;25984.10642;0.036307;24960.0693;0.032311;26106.96777;1;0;0;0;0
1;171;0;1;1;0.3687;0;0;98;1;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;7;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.000103;275.631997;0.003035;2141.881463;0.258422;1349.048874;0.036307;24960.0693;0.027517;11546.53622;1;0;0;0;0
1;171;0;1;1;0.3687;0;0;89;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.003035;2141.881463;4.153857;37.129494;0.036307;24960.0693;0.01371;7157.817077;1;0;0;0;0
1;171;0;1;1;0.3687;0;0;116;1;1;1;1;0;1;0.0271;0;1;1;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.000004;0;0.003035;2141.881463;0.001278;25026.3772;0.036307;24960.0693;0.009829;4048.892016;1;0;0;0;0
1;93;0;1;1;0.0301;0;0;196;1;1;1;1;0;1;0.2199;0;1;1;0;0;0;1;0;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0.000001;0;6.067135;6914.054152;1.167222;30330.08279;0.003272;4614.676464;0.539564;140664.3919;1;0;1;1;0
1;260;0;1;1;0.0499;0;0;196;1;1;1;1;0;1;0.2199;0;1;1;0;0;0;1;0;0;0;9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0.000001;0;31.696093;13372.05492;1.167222;30330.08279;0.204208;101158.5642;0.539564;140664.3919;1;1;1;1;0
1;138;0;1;1;0.0529;0;0;196;1;1;1;1;0;1;0.2199;0;1;1;0;0;0;1;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0.000001;0;0.051575;121.47956;1.167222;30330.08279;1.183183;32808.98626;0.539564;140664.3919;0;0;0;0;0
1;74;0;1;1;0.3028;0;0;196;1;1;1;1;0;1;0.2199;0;1;1;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0.000001;0;1.604632;12505.47835;1.167222;30330.08279;0.675398;161089.8818;0.539564;140664.3919;1;0;0;0;0
