neighbour IDP?;neighbour code;neighbour in CSN;neighbour in SIGNOR;neighbour in ReactomeFI;neighbour disorder content;neighbour preclinical target;neighbour MCG target;target code;target in CSN;target in SIGNOR;target in ReactomeFI;target of small molecule;target of antibody;targetneighbour;target disorder content;both in CSN;both in SIGNOR;both in ReactomeFI;both in all 3;in triangle - CSN;in  triangle - SIGNOR;in  triangle - ReactomeFI;not in any triangle;no. of triangles - CSN;no. of triangles - SIGNOR;no. of triangles - ReactomeFI;no. of in cycle - CSN;no. of in  cycle - SIGNOR;no. of in  cycle - ReactomeFI;no. of in unbalanced triangle - CSN;no. of in  unbalanced triangle - SIGNOR;no. of in  unbalanced triangle - ReactomeFI;neighbour – target inhibition - CSN;target – neighbour stimulation - CSN;neighbour – target stimulation - CSN;target – neighbour inhibition - CSN;neighbour – target inhibition - SIGNOR;target – neighbour stimulation - SIGNOR;neighbour – target stimulation - SIGNOR;target – neighbour inhibition - SIGNOR;neighbour – target inhibition - ReactomeFI;target – neighbour stimulation - ReactomeFI;neighbour – target stimulation - ReactomeFI;target – neighbour inhibition - ReactomeFI;neighbour third partner - CSN;target third partner - CSN;neighbour third partner - SIGNOR;target third partner - SIGNOR;neighbour third partner - ReactomeFI;target third partner - ReactomeFI;neighbour bridgeness - CSN;neighbour betweenness - CSN;target bridgeness - CSN;target betweenness - CSN;neighbour bridgeness - SIGNOR;neighbour betweenness - SIGNOR;target bridgeness - SIGNOR;target betweenness - SIGNOR;neighbour bridgeness - ReactomeFI;neighbour betweenness - ReactomeFI;target bridgeness - ReactomeFI;target betweenness - ReactomeFI;prognostic;predisposing;diagnostic;predictive
1;106;1;1;1;0.0414;0;0;98;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;40;0;0;5;0;0;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.000215;762.399806;0.000103;275.631997;109.596942;48738.69735;0.258422;1349.048874;0.226718;152814.2476;0.027517;11546.53622;1;1;1;0
1;110;1;1;1;0.0703;0;0;98;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;34;0;0;5;0;0;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.025377;20673.27086;0.000103;275.631997;99.554448;69869.81168;0.258422;1349.048874;0.046798;120532.0675;0.027517;11546.53622;1;1;0;0
1;181;1;1;1;0.12;0;0;98;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;35;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.00238;554.822061;0.000103;275.631997;0.361637;13196.46812;0.258422;1349.048874;0.441463;78035.84905;0.027517;11546.53622;1;0;1;0
1;72;1;1;1;0.1567;0;0;98;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;44;0;0;15;0;0;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.048112;62384.57186;0.000103;275.631997;4.294762;996999.4336;0.258422;1349.048874;2.03794;542579.0695;0.027517;11546.53622;1;1;1;1
1;126;1;1;1;0.0547;0;0;98;1;1;1;1;0;0;0;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.001093;8189.64431;0.000103;275.631997;0.427705;53825.97964;0.258422;1349.048874;4.501751;2580999.429;0.027517;11546.53622;1;1;1;1
1;137;0;0;1;0.3333;0;1;98;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;3;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0.000103;275.631997;0;0;0.258422;1349.048874;0.007312;6021.974584;0.027517;11546.53622;1;0;1;1
1;81;1;1;1;0.176;0;0;89;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;14;0;0;4;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0.038062;16355.0587;0;0;10.640448;73524.1199;4.153857;37.129494;4.180222;445994.8312;0.01371;7157.817077;1;1;1;1
1;221;1;1;1;0.251;0;0;89;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;7;0;0;4;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1.582649;19243.59186;0;0;19.843666;34622.83584;4.153857;37.129494;0.817987;215443.1742;0.01371;7157.817077;1;1;1;1
1;132;1;1;1;0.3783;0;0;89;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;15;0;0;4;0;0;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.003038;508.292333;0;0;42.873064;3929.696271;4.153857;37.129494;0.009519;17079.95886;0.01371;7157.817077;1;1;1;0
1;182;1;1;1;0.0688;0;0;89;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;17;0;0;5;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0.015497;3109.02903;0;0;3.429912;78503.01088;4.153857;37.129494;127.115487;3442580.642;0.01371;7157.817077;1;1;1;1
1;75;1;1;1;0.0975;0;0;89;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;11;0;0;4;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;3.941643;1190;0;0;16.681399;20787.76744;4.153857;37.129494;8.196901;252721.3081;0.01371;7157.817077;1;0;1;1
1;55;1;1;1;0.0764;0;0;89;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;20;0;0;4;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.635562;0;0;0;0.219632;1051.065709;4.153857;37.129494;0.068347;15869.1681;0.01371;7157.817077;1;1;1;1
1;123;1;1;1;0.1896;0;0;89;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;6;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.000264;851.203026;0;0;0.000897;8321;4.153857;37.129494;0.003192;7220.372761;0.01371;7157.817077;1;0;1;0
1;212;1;1;1;0.4201;0;0;89;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;20;0;0;3;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0.000535;1515.066759;0;0;1.938789;48363.48686;4.153857;37.129494;0.529235;239858.5312;0.01371;7157.817077;1;1;1;1
1;96;0;1;1;0.0989;0;0;89;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;4;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0.000035;0;4.153857;37.129494;0.004279;9570.114402;0.01371;7157.817077;1;1;1;1
1;27;0;1;1;0.0581;0;0;89;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;7;0;0;1;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0.007034;0.563147;4.153857;37.129494;0.220252;37360.07752;0.01371;7157.817077;1;1;1;1
